date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
29/09/2011,49.62060341,51.09942622,49.06668009,51.0625827,162771862,390.57,0,402.21,386.21,401.92,1,23253100
30/09/2011,48.44542206,49.40716507,48.42763553,49.18229253,136910336,381.32,0,388.89,381.18,387.12,1,19558600
03/10/2011,47.59166868,48.61312361,47.41011905,48.32472776,167274967,374.6,0,382.64,373.171,380.37,1,23896400
04/10/2011,47.32487076,48.50640444,45.00499924,47.58785729,308419608,372.5,0,381.8,354.24,374.57,1,44059900
05/10/2011,48.05538889,48.25485211,45.77490183,46.73537438,196617596,378.25,0,379.82,360.3,367.86,1,28088200
06/10/2011,47.94358786,48.88500341,47.23650982,47.43031946,203145803,377.37,0,384.78,371.8045,373.33,1,29020800
07/10/2011,46.98184485,47.99059511,46.81528671,47.74158371,133864633,369.8,0,377.74,368.489,375.78,1,19123500
10/10/2011,49.39700134,49.39700134,48.05030703,48.16210807,110628810,388.81,0,388.81,378.21,379.09,1,15804100
11/10/2011,50.85549668,51.22266145,49.73875678,49.87469668,151422051,400.29,0,403.18,391.5,392.57,1,21631700
12/10/2011,51.09688529,51.99383451,50.83643969,51.75117545,155571655,402.19,0,409.25,400.14,407.34,1,22224500
13/10/2011,51.88965628,51.88965628,51.18073606,51.45134539,106546406,408.43,0,408.43,402.85,404.98,1,15220900
14/10/2011,53.61367908,53.61367908,52.75865524,52.95684799,143341943,422,0,422,415.27,416.83,1,20477400
17/10/2011,53.35831535,54.21079826,52.84377649,53.58064696,171511371,419.99,0,426.7,415.94,421.74,1,24501600
18/10/2011,53.64417028,53.97026087,52.85012882,53.58318789,220400820,422.24,0,424.8067,415.99,421.76,1,31485800
19/10/2011,50.64332881,51.88825876,50.53915057,50.99016611,276015176,398.62,0,408.419,397.8,401.35,1,39430700
20/10/2011,50.22280445,50.86311948,50.08305316,50.81865316,137317737,395.31,0,400.35,394.21,400,1,19616800
21/10/2011,49.91281067,50.70939306,49.64347181,50.57726456,155311255,392.87,0,399.14,390.75,398.1,1,22187300
24/10/2011,51.55171223,51.64445627,50.23423865,50.33333502,125534625,405.77,0,406.5,395.4,396.18,1,17933500
25/10/2011,50.53533917,51.65080861,50.48579098,51.45769772,107606907,397.77,0,406.55,397.38,405.03,1,15372400
26/10/2011,50.89488114,51.14262207,49.94851077,51.04225523,114076314,400.6,0,402.55,393.151,401.76,1,16296600
27/10/2011,51.41450187,51.96207286,51.0587713,51.77912571,123666323,404.69,0,409,401.89,407.56,1,17666600
28/10/2011,51.44753399,51.62539928,51.13754021,51.19979306,80710780,404.95,0,406.35,402.51,403,1,11530100
31/10/2011,51.42593607,52.00399825,50.95205212,51.12610601,96375396,404.78,0,409.33,401.05,402.42,1,13767900
01/11/2011,50.37526041,50.75512984,49.95727699,50.48960238,132947632,396.51,0,399.5,393.22,397.41,1,18992500
02/11/2011,50.48960238,50.87455368,50.19739513,50.83008736,81837781,397.41,0,400.44,395.11,400.09,1,11691100
03/11/2011,51.20868632,51.25061171,50.22915678,50.70049979,110346710,403.07,0,403.4,395.36,399.07,1,15763800
04/11/2011,50.84914435,51.25569358,50.71193399,51.07655783,75557375,400.24,0,403.44,399.16,402.03,1,10793900
07/11/2011,50.78435057,50.81865316,50.32698269,50.80721896,67568967,399.73,0,400,396.13,399.91,1,9652700
08/11/2011,51.61015368,51.83502622,51.01684591,51.09942622,100110600,406.23,0,408,401.56,402.21,1,14301500
09/11/2011,50.21899305,50.93172466,50.08559409,50.43370186,139671139,395.28,0,400.89,394.23,396.97,1,19953000
10/11/2011,48.94090393,50.46419305,48.55087076,50.44132466,186188286,385.22,0,397.21,382.15,397.03,1,26598300
11/11/2011,48.86467595,49.38302621,48.31075263,49.11749875,163446663,384.62,0,388.7,380.26,386.61,1,23349500
14/11/2011,48.18370599,48.94471533,48.04903656,48.72493735,108226408,379.26,0,385.25,378.2,383.5201,1,15460900
15/11/2011,49.39954227,49.48466351,48.20784485,48.37935781,107702807,388.83,0,389.5,379.45,380.8,1,15386100
16/11/2011,48.88373294,49.69301999,48.82656196,49.45290186,87302687,384.77,0,391.14,384.32,389.25,1,12471800
17/11/2011,47.94866972,48.85959408,47.70601065,48.7833661,119975219,377.41,0,384.58,375.5,383.98,1,17139300
18/11/2011,47.63486454,48.27645004,47.62724174,48.14051014,92984592,374.94,0,379.99,374.88,378.92,1,13283500
21/11/2011,46.88147801,47.22069252,46.48763344,47.05807283,111995211,369.01,0,371.68,365.91,370.4,1,15999300
22/11/2011,47.83432775,48.01473397,47.12667801,47.13684174,102255402,376.51,0,377.93,370.94,371.02,1,14607900
23/11/2011,46.62484381,47.74920651,46.61086868,47.58023449,107067907,366.99,0,375.84,366.88,374.51,1,15295400
25/11/2011,46.19034432,47.1533578,46.15858267,46.80652049,63690263,363.57,0,371.15,363.32,368.42,1,9098600
28/11/2011,47.78477957,47.86100755,47.04917956,47.30581376,86603386,376.12,0,376.72,370.33,372.35,1,12371900
29/11/2011,47.4138034,48.12907594,47.0326635,47.74920651,93963893,373.2,0,378.83,370.2,375.84,1,13423400
30/11/2011,48.55722309,48.56687864,48.06174123,48.44161066,101484701,382.2,0,382.276,378.3,381.29,1,14497800
01/12/2011,49.2852003,49.4211402,48.37300548,48.60041895,96795396,387.93,0,389,380.75,382.54,1,13827900
02/12/2011,49.51007284,50.0093534,49.36778061,49.5265889,94763994,389.7,0,393.6299,388.58,389.83,1,13537700
05/12/2011,49.9305972,50.36255575,49.59748092,49.99157958,89302589,393.01,0,396.41,390.388,393.49,1,12757500
06/12/2011,49.66888113,50.13641274,49.46941792,49.86707388,70899570,390.95,0,394.63,389.38,392.51,1,10128500
07/12/2011,49.4325744,49.66761067,49.13687336,49.53929357,76186676,389.09,0,390.94,386.7625,389.93,1,10883800
08/12/2011,49.63203761,50.24694331,49.57740756,49.73240445,94089194,390.66,0,395.5,390.23,391.45,1,13441300
09/12/2011,50.00809564,50.06145523,49.67904486,49.91026974,74248374,393.62,0,394.04,391.03,392.85,1,10606900
12/12/2011,49.78195264,50.0436687,49.47831118,49.76162517,75266875,391.84,0,393.9,389.45,391.68,1,10752400
13/12/2011,49.39700134,50.23423865,49.1797516,49.92932673,84732284,388.81,0,395.4,387.1,393,1,12104600
14/12/2011,48.30185936,49.21532465,47.98297231,49.12893294,101722001,380.19,0,387.38,377.68,386.7,1,14531700
15/12/2011,48.14305107,48.75287491,48.06301169,48.70078579,64050064,378.94,0,383.74,378.31,383.33,1,9150000
16/12/2011,48.40730807,48.80496403,48.22309045,48.32345729,105369705,381.02,0,384.15,379.57,380.36,1,15052800
19/12/2011,48.55849356,48.89389667,48.33870289,48.59152569,58882658,382.21,0,384.85,380.48,382.47,1,8411800
20/12/2011,50.3041143,50.32317129,49.20007906,49.26360237,84303884,395.95,0,396.1,387.26,387.76,1,12043400
21/12/2011,50.36700238,50.47562725,49.80355056,50.39812881,65737065,396.445,0,397.3,392.01,396.69,1,9391000
22/12/2011,50.63443554,50.70812259,50.32317129,50.43751326,50589750,398.55,0,399.13,396.1,397,1,7227100
23/12/2011,51.24171845,51.27475057,50.75449461,50.7792687,67349867,403.33,0,403.59,399.495,399.69,1,9621400
27/12/2011,51.64826767,51.97350705,51.20233399,51.21249772,66269066,406.53,0,409.09,403.02,403.1,1,9467000
28/12/2011,51.15405627,51.86678788,50.98889565,51.69400446,57165557,402.64,0,408.25,401.34,406.89,1,8166500
29/12/2011,51.46913192,51.53646664,50.88344694,51.25061171,53994553,405.12,0,405.65,400.51,403.4,1,7713500
30/12/2011,51.45388632,51.61650602,51.26204591,51.26458684,44915544,405,0,406.28,403.49,403.51,1,6416500
03/01/2012,52.24538685,52.40673607,51.96207286,52.01289151,75555275,411.23,0,412.5,409,409.4,1,10793600
04/01/2012,52.52615991,52.68369773,51.99764591,52.08911949,65005565,413.44,0,414.68,409.28,410,1,9286500
05/01/2012,53.10930395,53.1753682,52.428334,52.71800032,67817467,418.03,0,418.55,412.67,414.95,1,9688200
06/01/2012,53.66449774,53.70896406,53.26048944,53.33036509,79573279,422.4,0,422.75,419.22,419.77,1,11367600
09/01/2012,53.57937649,54.34419722,53.53109877,54.058355,98506198,421.73,0,427.75,421.35,425.5001,1,14072300
10/01/2012,53.77121691,54.12186562,53.55015577,54.11044412,64549164,423.24,0,426,421.5,425.9101,1,9221300
11/01/2012,53.68355473,53.72166872,53.27192364,53.70007079,53771253,422.55,0,422.85,419.31,422.68,1,7681600
12/01/2012,53.53618064,53.72802105,53.20077753,53.64925214,53146853,421.39,0,422.9,418.75,422.28,1,7592400
13/01/2012,53.33544696,53.4167568,53.18934333,53.32147183,56505456,419.81,0,420.45,418.66,419.7,1,8072200
17/01/2012,53.95670499,54.12059515,53.73564385,53.89318168,60724360,424.7,0,425.99,422.96,424.2,1,8674900
18/01/2012,54.51698064,54.56271743,54.15997961,54.24383038,69197869,429.11,0,429.47,426.3,426.96,1,9885400
19/01/2012,54.34419722,54.80397899,54.1866594,54.64910914,65434665,427.75,0,431.369,426.51,430.15,1,9347800
20/01/2012,53.39769981,54.31243557,53.32782416,54.3111651,103493703,420.3,0,427.5,419.75,427.49,1,14784800
23/01/2012,54.30087432,54.43312987,53.65179307,53.69880033,76515676,427.409,0,428.45,422.3,422.67,1,10930800
24/01/2012,53.41167494,54.00753635,53.30241483,54.00753635,136909636,420.41,0,425.1001,419.55,425.1001,1,19558500
25/01/2012,56.74664905,57.73634232,56.37440242,57.73507186,239578739,446.66,0,454.45,443.73,454.44,1,34225500
26/01/2012,56.48874439,57.01725838,56.2994449,56.96262833,80996380,444.63,0,448.79,443.14,448.36,1,11570900
