date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
26/01/2015,535.21,539,529.67,538.53,1539524,535.21,0,539,529.67,538.53,1,1539524
27/01/2015,518.63,530.7,518.19,529.97,1898844,518.63,0,530.7,518.19,529.97,1,1898844
28/01/2015,510,522.99,510,522.78,1679230,510,0,522.99,510,522.78,1,1679230
29/01/2015,510.66,511.09,501.2,511,4174924,510.66,0,511.09,501.2,511,1,4174924
30/01/2015,534.52,539.87,515.52,515.86,5590977,534.52,0,539.87,515.52,515.86,1,5590977
02/02/2015,528.48,533,518.55,531.73,2841976,528.48,0,533,518.55,531.73,1,2841976
03/02/2015,529.24,533.4,523.26,528,2033085,529.24,0,533.4,523.26,528,1,2033085
04/02/2015,522.76,532.6715,521.27,529.24,1659125,522.76,0,532.6715,521.27,529.24,1,1659125
05/02/2015,527.58,528.5,522.09,523.79,1844687,527.58,0,528.5,522.09,523.79,1,1844687
06/02/2015,531,537.2,526.41,527.64,1758650,531,0,537.2,526.41,527.64,1,1758650
09/02/2015,527.83,532,526.02,528,1264276,527.83,0,532,526.02,528,1,1264276
10/02/2015,536.94,537.7,526.92,529.3,1745076,536.94,0,537.7,526.92,529.3,1,1745076
11/02/2015,535.97,538.45,533.3775,535.3,1373970,535.97,0,538.45,533.3775,535.3,1,1373970
12/02/2015,542.93,544.82,534.673,537.25,1615824,542.93,0,544.82,534.673,537.25,1,1615824
13/02/2015,549.01,549.91,543.13,543.35,1895126,549.01,0,549.91,543.13,543.35,1,1895126
17/02/2015,542.84,550,541.09,546.83,1612439,542.84,0,550,541.09,546.83,1,1612439
18/02/2015,539.7,545.49,537.51,541.4,1449089,539.7,0,545.49,537.51,541.4,1,1449089
19/02/2015,542.87,543.11,538.01,538.04,987478,542.87,0,543.11,538.01,538.04,1,987478
20/02/2015,538.95,543.75,535.8,543.13,1441212,538.95,0,543.75,535.8,543.13,1,1441212
23/02/2015,531.91,536.439,529.41,536.05,1453907,531.91,0,536.439,529.41,536.05,1,1453907
24/02/2015,536.09,536.79,528.25,530,1002393,536.09,0,536.79,528.25,530,1,1002393
25/02/2015,543.87,546.22,535.445,535.9,1821041,543.87,0,546.22,535.445,535.9,1,1821041
26/02/2015,555.48,556.14,541.5,543.21,2305219,555.48,0,556.14,541.5,543.21,1,2305219
27/02/2015,558.4,564.71,552.9,554.24,2403553,558.4,0,564.71,552.9,554.24,1,2403553
02/03/2015,571.34,572.15,558.75,560.53,2123796,571.34,0,572.15,558.75,560.53,1,2123796
03/03/2015,573.64,575.39,566.52,570.45,1700084,573.64,0,575.39,566.52,570.45,1,1700084
04/03/2015,573.37,577.11,568.01,571.87,1871694,573.37,0,577.11,568.01,571.87,1,1871694
05/03/2015,575.33,577.91,573.41,575.02,1385818,575.33,0,577.91,573.41,575.02,1,1385818
06/03/2015,567.685,576.6799,566.76,574.88,1654561,567.685,0,576.6799,566.76,574.88,1,1654561
09/03/2015,568.85,570.27,563.535,566.86,1059336,568.85,0,570.27,563.535,566.86,1,1059336
10/03/2015,555.01,564.85,554.73,564.25,1787357,555.01,0,564.85,554.73,564.25,1,1787357
11/03/2015,551.18,558.14,550.68,555.14,1815763,551.18,0,558.14,550.68,555.14,1,1815763
12/03/2015,555.51,556.37,550.46,553.51,1385772,555.51,0,556.37,550.46,553.51,1,1385772
13/03/2015,547.32,558.4,544.22,553.5,1698872,547.32,0,558.4,544.22,553.5,1,1698872
16/03/2015,554.51,556.85,546,550.95,1636493,554.51,0,556.85,546,550.95,1,1636493
17/03/2015,550.84,553.8,548,551.71,1800570,550.84,0,553.8,548,551.71,1,1800570
18/03/2015,559.5,559.78,547.0001,552.5,2128714,559.5,0,559.78,547.0001,552.5,1,2128714
19/03/2015,557.99,560.8,556.145,559.39,1194049,557.99,0,560.8,556.145,559.39,1,1194049
20/03/2015,560.36,561.72,559.05,561.65,2609690,560.36,0,561.72,559.05,561.65,1,2609690
23/03/2015,558.81,562.36,555.83,560.43,1639306,558.81,0,562.36,555.83,560.43,1,1639306
24/03/2015,570.19,574.59,561.21,562.56,2576234,570.19,0,574.59,561.21,562.56,1,2576234
25/03/2015,558.785,572.26,558.74,570.5,2146384,558.785,0,572.26,558.74,570.5,1,2146384
26/03/2015,555.17,558.9,550.65,557.59,1568331,555.17,0,558.9,550.65,557.59,1,1568331
27/03/2015,548.34,555.28,548.13,553,1892323,548.34,0,555.28,548.13,553,1,1892323
30/03/2015,552.03,553.47,548.17,551.62,1283958,552.03,0,553.47,548.17,551.62,1,1283958
31/03/2015,548,554.71,546.72,550,1583677,548,0,554.71,546.72,550,1,1583677
01/04/2015,542.56,551.14,539.5,548.6,1957718,542.56,0,551.14,539.5,548.6,1,1957718
02/04/2015,535.53,540.85,533.8467,540.85,1711737,535.53,0,540.85,533.8467,540.85,1,1711737
